queue_id,queue_row_id,queue_stage,source_bucket,campaign_id,pair_id,image_id,duplicate_group_id,feature_snapshot_id,layout_spec_id,image_path,resolved_path,category,source_group,place_name,subject_name,diagnostic_model_score,clip_margin,clip_positive_max_sim,clip_negative_max_sim,clip_rank_percentile,required_region_safe_mean,required_region_safe_min,title_region_safe_score,info_region_safe_score,dinov2_cluster_id_coarse,dinov2_cluster_id_mid,dinov2_cluster_id_fine,preview_path,decision,issue_tags,preference_rank,notes,image_category_gallery,image_category_tree,image_category_flower,image_category_course,path_has_architecture,path_has_garden,decision_label
review_queue_phase1a_v1,review_queue_phase1a_v1_0001,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_8deb1c497d__layout_top_left_bottom_left,raw_8deb1c497d,dup_exact_d66c0c1dff98,feat_v2_2_1__phase1a_summer_garden_walk__raw_8deb1c497d,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_3_2.jpg,gallery,정원,풍설기천년,,,0.0695060938596725,0.281646192073822,0.2121400982141494,0.9756097793579102,0.2853658536585366,0.048780487804878,0.5219512195121951,0.048780487804878,coarse_20_0014,mid_100_0012,fine_182_0124,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
review_queue_phase1a_v1,review_queue_phase1a_v1_0002,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_e1064a803d__layout_top_left_bottom_left,raw_e1064a803d,dup_exact_0ebb91e1a6e4,feat_v2_2_1__phase1a_summer_garden_walk__raw_e1064a803d,layout_top_left_bottom_left,gallery/정원/별유동천/space9_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_1_2.jpg,gallery,정원,별유동천,,,0.0686591863632202,0.2796180844306946,0.2109588980674743,0.9707317352294922,0.0682926829268292,0.0097560975609756,0.1268292682926829,0.0097560975609756,coarse_20_0013,mid_100_0009,fine_182_0044,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
review_queue_phase1a_v1,review_queue_phase1a_v1_0003,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_22d63fd86a__layout_top_left_bottom_left,raw_22d63fd86a,dup_exact_c90c21a044aa,feat_v2_2_1__phase1a_summer_garden_walk__raw_22d63fd86a,layout_top_left_bottom_left,gallery/건축/유원/space5_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/space5_3_2.jpg,gallery,건축,유원,,,0.0673334002494812,0.2903265655040741,0.2229931652545929,0.990243911743164,0.0634146341463414,0.0536585365853658,0.073170731707317,0.0536585365853658,coarse_20_0015,mid_100_0004,fine_182_0063,,2,,,,1.0,0.0,0.0,0.0,1.0,0.0,accept
review_queue_phase1a_v1,review_queue_phase1a_v1_0004,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_50d3d9c9da__layout_top_left_bottom_left,raw_50d3d9c9da,dup_exact_c0ae56ade264,feat_v2_2_1__phase1a_summer_garden_walk__raw_50d3d9c9da,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_4_4.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_4_4.jpg,gallery,정원,풍설기천년,,,0.064194455742836,0.2713934183120727,0.2071989625692367,0.9170731902122498,0.2902439024390243,0.0878048780487804,0.4926829268292683,0.0878048780487804,coarse_20_0014,mid_100_0083,fine_182_0075,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
review_queue_phase1a_v1,review_queue_phase1a_v1_0005,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_9b34fc0214__layout_top_left_bottom_left,raw_9b34fc0214,dup_exact_4f3e767139ec,feat_v2_2_1__phase1a_summer_garden_walk__raw_9b34fc0214,layout_top_left_bottom_left,gallery/정원/별유동천/space9_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_1_1.jpg,gallery,정원,별유동천,,,0.0638158619403839,0.2792005240917206,0.2153846621513366,0.9609755873680116,0.4414634146341463,0.1219512195121951,0.7609756097560976,0.1219512195121951,coarse_20_0013,mid_100_0009,fine_182_0114,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
review_queue_phase1a_v1,review_queue_phase1a_v1_0006,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_780275f394__layout_top_left_bottom_left,raw_780275f394,dup_exact_df8beaf82173,feat_v2_2_1__phase1a_summer_garden_walk__raw_780275f394,layout_top_left_bottom_left,gallery/정원/별유동천/space9_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_4_1.jpg,gallery,정원,별유동천,,,0.0631051063537597,0.2657137513160705,0.2026086449623108,0.8536585569381714,0.0902439024390243,0.0536585365853658,0.0536585365853658,0.1268292682926829,coarse_20_0013,mid_100_0009,fine_182_0169,,1,,,,1.0,0.0,0.0,0.0,0.0,1.0,acceptable
review_queue_phase1a_v1,review_queue_phase1a_v1_0007,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_7f1ff1b54d__layout_top_left_bottom_left,raw_7f1ff1b54d,dup_exact_3fc82a73fdce,feat_v2_2_1__phase1a_summer_garden_walk__raw_7f1ff1b54d,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_1_1.jpg,gallery,정원,풍설기천년,,,0.0615866333246231,0.2740257382392883,0.2124391049146652,0.9317073225975036,0.2439024390243902,0.1024390243902439,0.1024390243902439,0.3853658536585366,coarse_20_0014,mid_100_0071,fine_182_0062,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
review_queue_phase1a_v1,review_queue_phase1a_v1_0008,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_a0ba1b33b2__layout_top_left_bottom_left,raw_a0ba1b33b2,dup_exact_1f0a4a93bf0f,feat_v2_2_1__phase1a_summer_garden_walk__raw_a0ba1b33b2,layout_top_left_bottom_left,arbor/flower/참나리/nature5_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/참나리/nature5_2.jpg,arbor,flower,,참나리,,0.0614900290966033,0.262792557477951,0.2013025283813476,0.8097561001777649,0.4,0.1707317073170731,0.6292682926829268,0.1707317073170731,coarse_20_0018,mid_100_0027,fine_182_0027,,1,,,,0.0,0.0,1.0,0.0,0.0,0.0,acceptable
review_queue_phase1a_v1,review_queue_phase1a_v1_0009,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_19c9aa3ffa__layout_top_left_bottom_left,raw_19c9aa3ffa,dup_exact_39d154f18e8e,feat_v2_2_1__phase1a_summer_garden_walk__raw_19c9aa3ffa,layout_top_left_bottom_left,gallery/건축/몽몽미방/space7_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_1.jpg,gallery,건축,몽몽미방,,,0.0581189095973968,0.2706528007984161,0.2125338912010193,0.9073171019554138,0.424390243902439,0.2536585365853658,0.2536585365853658,0.5951219512195122,coarse_20_0011,mid_100_0022,fine_182_0013,,2,,,,1.0,0.0,0.0,0.0,1.0,0.0,accept
review_queue_phase1a_v1,review_queue_phase1a_v1_0010,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_31b278973b__layout_top_left_bottom_left,raw_31b278973b,dup_exact_30bc26797ec5,feat_v2_2_1__phase1a_summer_garden_walk__raw_31b278973b,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_1_2.jpg,gallery,정원,풍설기천년,,,0.0565477907657623,0.2795127034187317,0.2229649126529693,0.9658536314964294,0.1341463414634146,0.048780487804878,0.048780487804878,0.2195121951219512,coarse_20_0014,mid_100_0075,fine_182_0040,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
