queue_id,queue_row_id,queue_stage,source_bucket,campaign_id,pair_id,image_id,duplicate_group_id,feature_snapshot_id,layout_spec_id,image_path,resolved_path,category,source_group,place_name,subject_name,diagnostic_model_score,clip_margin,clip_positive_max_sim,clip_negative_max_sim,clip_rank_percentile,required_region_safe_mean,required_region_safe_min,title_region_safe_score,info_region_safe_score,dinov2_cluster_id_coarse,dinov2_cluster_id_mid,dinov2_cluster_id_fine,preview_path,decision,issue_tags,preference_rank,notes,image_category_gallery,image_category_tree,image_category_flower,image_category_course,path_has_architecture,path_has_garden
review_queue_phase1a_v1,review_queue_phase1a_v1_0001,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_8deb1c497d__layout_top_left_bottom_left,raw_8deb1c497d,dup_exact_d66c0c1dff98,feat_v2_2_1__phase1a_summer_garden_walk__raw_8deb1c497d,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_3_2.jpg,gallery,정원,풍설기천년,,,0.06950609385967255,0.281646192073822,0.21214009821414948,0.9756097793579102,0.2853658536585366,0.04878048780487805,0.5219512195121951,0.04878048780487805,coarse_20_0014,mid_100_0012,fine_182_0124,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
review_queue_phase1a_v1,review_queue_phase1a_v1_0002,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_e1064a803d__layout_top_left_bottom_left,raw_e1064a803d,dup_exact_0ebb91e1a6e4,feat_v2_2_1__phase1a_summer_garden_walk__raw_e1064a803d,layout_top_left_bottom_left,gallery/정원/별유동천/space9_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_1_2.jpg,gallery,정원,별유동천,,,0.06865918636322021,0.2796180844306946,0.21095889806747437,0.9707317352294922,0.06829268292682927,0.00975609756097561,0.12682926829268293,0.00975609756097561,coarse_20_0013,mid_100_0009,fine_182_0044,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
review_queue_phase1a_v1,review_queue_phase1a_v1_0003,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_22d63fd86a__layout_top_left_bottom_left,raw_22d63fd86a,dup_exact_c90c21a044aa,feat_v2_2_1__phase1a_summer_garden_walk__raw_22d63fd86a,layout_top_left_bottom_left,gallery/건축/유원/space5_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/space5_3_2.jpg,gallery,건축,유원,,,0.0673334002494812,0.2903265655040741,0.2229931652545929,0.9902439117431641,0.06341463414634146,0.05365853658536585,0.07317073170731707,0.05365853658536585,coarse_20_0015,mid_100_0004,fine_182_0063,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
review_queue_phase1a_v1,review_queue_phase1a_v1_0004,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_50d3d9c9da__layout_top_left_bottom_left,raw_50d3d9c9da,dup_exact_c0ae56ade264,feat_v2_2_1__phase1a_summer_garden_walk__raw_50d3d9c9da,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_4_4.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_4_4.jpg,gallery,정원,풍설기천년,,,0.064194455742836,0.27139341831207275,0.20719896256923676,0.9170731902122498,0.29024390243902437,0.08780487804878048,0.4926829268292683,0.08780487804878048,coarse_20_0014,mid_100_0083,fine_182_0075,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
review_queue_phase1a_v1,review_queue_phase1a_v1_0005,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_9b34fc0214__layout_top_left_bottom_left,raw_9b34fc0214,dup_exact_4f3e767139ec,feat_v2_2_1__phase1a_summer_garden_walk__raw_9b34fc0214,layout_top_left_bottom_left,gallery/정원/별유동천/space9_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_1_1.jpg,gallery,정원,별유동천,,,0.06381586194038391,0.2792005240917206,0.21538466215133667,0.9609755873680115,0.44146341463414634,0.12195121951219512,0.7609756097560976,0.12195121951219512,coarse_20_0013,mid_100_0009,fine_182_0114,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
review_queue_phase1a_v1,review_queue_phase1a_v1_0006,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_780275f394__layout_top_left_bottom_left,raw_780275f394,dup_exact_df8beaf82173,feat_v2_2_1__phase1a_summer_garden_walk__raw_780275f394,layout_top_left_bottom_left,gallery/정원/별유동천/space9_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_4_1.jpg,gallery,정원,별유동천,,,0.06310510635375977,0.26571375131607056,0.2026086449623108,0.8536585569381714,0.09024390243902439,0.05365853658536585,0.05365853658536585,0.12682926829268293,coarse_20_0013,mid_100_0009,fine_182_0169,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
review_queue_phase1a_v1,review_queue_phase1a_v1_0007,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_7f1ff1b54d__layout_top_left_bottom_left,raw_7f1ff1b54d,dup_exact_3fc82a73fdce,feat_v2_2_1__phase1a_summer_garden_walk__raw_7f1ff1b54d,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_1_1.jpg,gallery,정원,풍설기천년,,,0.06158663332462311,0.27402573823928833,0.21243910491466522,0.9317073225975037,0.24390243902439024,0.1024390243902439,0.1024390243902439,0.3853658536585366,coarse_20_0014,mid_100_0071,fine_182_0062,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
review_queue_phase1a_v1,review_queue_phase1a_v1_0008,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_a0ba1b33b2__layout_top_left_bottom_left,raw_a0ba1b33b2,dup_exact_1f0a4a93bf0f,feat_v2_2_1__phase1a_summer_garden_walk__raw_a0ba1b33b2,layout_top_left_bottom_left,arbor/flower/참나리/nature5_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/참나리/nature5_2.jpg,arbor,flower,,참나리,,0.061490029096603394,0.26279255747795105,0.20130252838134766,0.8097561001777649,0.4,0.17073170731707318,0.6292682926829268,0.17073170731707318,coarse_20_0018,mid_100_0027,fine_182_0027,,,,,,0.0,0.0,1.0,0.0,0.0,0.0
review_queue_phase1a_v1,review_queue_phase1a_v1_0009,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_19c9aa3ffa__layout_top_left_bottom_left,raw_19c9aa3ffa,dup_exact_39d154f18e8e,feat_v2_2_1__phase1a_summer_garden_walk__raw_19c9aa3ffa,layout_top_left_bottom_left,gallery/건축/몽몽미방/space7_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_1.jpg,gallery,건축,몽몽미방,,,0.05811890959739685,0.27065280079841614,0.2125338912010193,0.9073171019554138,0.424390243902439,0.25365853658536586,0.25365853658536586,0.5951219512195122,coarse_20_0011,mid_100_0022,fine_182_0013,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
review_queue_phase1a_v1,review_queue_phase1a_v1_0010,cold_start,clip_high_model_low,phase1a_summer_garden_walk,phase1a_summer_garden_walk__raw_31b278973b__layout_top_left_bottom_left,raw_31b278973b,dup_exact_30bc26797ec5,feat_v2_2_1__phase1a_summer_garden_walk__raw_31b278973b,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_1_2.jpg,gallery,정원,풍설기천년,,,0.05654779076576233,0.2795127034187317,0.22296491265296936,0.9658536314964294,0.13414634146341464,0.04878048780487805,0.04878048780487805,0.21951219512195122,coarse_20_0014,mid_100_0075,fine_182_0040,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
